year,month,user type,gender,trips
2017,Jan,Customer,Female,1022
2017,Jan,Customer,Male,2371
2017,Jan,Customer,Unknown,22818
2017,Jan,Subscriber,Female,151970
2017,Jan,Subscriber,Male,539478
2017,Jan,Subscriber,Unknown,9017
2017,Feb,Customer,Female,2631
2017,Feb,Customer,Male,5242
2017,Feb,Customer,Unknown,42623
2017,Feb,Subscriber,Female,169154
2017,Feb,Subscriber,Male,562602
2017,Feb,Subscriber,Unknown,9395
2017,Mar,Customer,Female,1660
2017,Mar,Customer,Male,3534
2017,Mar,Customer,Unknown,26719
2017,Mar,Subscriber,Female,151816
2017,Mar,Subscriber,Male,535217
2017,Mar,Subscriber,Unknown,8719
2017,Apr,Customer,Female,12974
2017,Apr,Customer,Male,17682
2017,Apr,Customer,Unknown,158204
2017,Apr,Subscriber,Female,274755
2017,Apr,Subscriber,Male,837170
2017,Apr,Subscriber,Unknown,14619
2017,May,Customer,Female,11260
2017,May,Customer,Male,18696
2017,May,Customer,Unknown,159804
2017,May,Subscriber,Female,328148
2017,May,Subscriber,Male,987584
2017,May,Subscriber,Unknown,17776
2017,Jun,Customer,Female,13493
2017,Jun,Customer,Male,23525
2017,Jun,Customer,Unknown,177624
2017,Jun,Subscriber,Female,387760
2017,Jun,Subscriber,Male,1108405
2017,Jun,Subscriber,Unknown,20787
2017,Jul,Customer,Female,17494
2017,Jul,Customer,Male,30085
2017,Jul,Customer,Unknown,214133
2017,Jul,Subscriber,Female,383527
2017,Jul,Subscriber,Male,1069299
2017,Jul,Subscriber,Unknown,21061
2017,Aug,Customer,Female,18985
2017,Aug,Customer,Male,32251
2017,Aug,Customer,Unknown,206823
2017,Aug,Subscriber,Female,403400
2017,Aug,Subscriber,Male,1129760
2017,Aug,Subscriber,Unknown,25279
2017,Sep,Customer,Female,17674
2017,Sep,Customer,Male,29075
2017,Sep,Customer,Unknown,188240
2017,Sep,Subscriber,Female,426458
2017,Sep,Subscriber,Male,1189449
2017,Sep,Subscriber,Unknown,27202
2017,Oct,Customer,Female,13734
2017,Oct,Customer,Male,23327
2017,Oct,Customer,Unknown,167939
2017,Oct,Subscriber,Female,428071
2017,Oct,Subscriber,Male,1228019
2017,Oct,Subscriber,Unknown,36502
2017,Nov,Customer,Female,6708
2017,Nov,Customer,Male,12725
2017,Nov,Customer,Unknown,69863
2017,Nov,Subscriber,Female,297492
2017,Nov,Subscriber,Male,918002
2017,Nov,Subscriber,Unknown,25859
2017,Dec,Customer,Female,2603
2017,Dec,Customer,Male,4620
2017,Dec,Customer,Unknown,27171
2017,Dec,Subscriber,Female,192199
2017,Dec,Subscriber,Male,646928
2017,Dec,Subscriber,Unknown,16446
2018,Jan,Customer,Female,2061
2018,Jan,Customer,Male,2906
2018,Jan,Customer,Unknown,17141
2018,Jan,Subscriber,Female,149745
2018,Jan,Subscriber,Male,534683
2018,Jan,Subscriber,Unknown,12458
2018,Feb,Customer,Female,3046
2018,Feb,Customer,Male,4809
2018,Feb,Customer,Unknown,25503
2018,Feb,Subscriber,Female,178220
2018,Feb,Subscriber,Male,616940
2018,Feb,Subscriber,Unknown,14596
2018,Mar,Customer,Female,6102
2018,Mar,Customer,Male,8317
2018,Mar,Customer,Unknown,44616
2018,Mar,Subscriber,Female,206585
2018,Mar,Subscriber,Male,694216
2018,Mar,Subscriber,Unknown,16836
2018,Apr,Customer,Female,20055
2018,Apr,Customer,Male,28680
2018,Apr,Customer,Unknown,100576
2018,Apr,Subscriber,Female,273775
2018,Apr,Subscriber,Male,861504
2018,Apr,Subscriber,Unknown,22953
2018,May,Customer,Female,28364
2018,May,Customer,Male,46506
2018,May,Customer,Unknown,167724
2018,May,Subscriber,Female,392940
2018,May,Subscriber,Male,1157310
2018,May,Subscriber,Unknown,31866
2018,Jun,Customer,Female,34739
2018,Jun,Customer,Male,55653
2018,Jun,Customer,Unknown,167923
2018,Jun,Subscriber,Female,434805
2018,Jun,Subscriber,Male,1226255
2018,Jun,Subscriber,Unknown,33728
2018,Jul,Customer,Female,40961
2018,Jul,Customer,Male,65330
2018,Jul,Customer,Unknown,178588
2018,Jul,Subscriber,Female,419318
2018,Jul,Subscriber,Male,1177216
2018,Jul,Subscriber,Unknown,32212
2018,Aug,Customer,Female,38204
2018,Aug,Customer,Male,64252
2018,Aug,Customer,Unknown,171265
2018,Aug,Subscriber,Female,437281
2018,Aug,Subscriber,Male,1232060
2018,Aug,Subscriber,Unknown,34115
2018,Sep,Customer,Female,45582
2018,Sep,Customer,Male,75067
2018,Sep,Customer,Unknown,140504
2018,Sep,Subscriber,Female,417851
2018,Sep,Subscriber,Male,1165897
2018,Sep,Subscriber,Unknown,32983
2018,Oct,Customer,Female,35026
2018,Oct,Customer,Male,65177
2018,Oct,Customer,Unknown,92198
2018,Oct,Subscriber,Female,413759
2018,Oct,Subscriber,Male,1239053
2018,Oct,Subscriber,Unknown,33444
2018,Nov,Customer,Female,16445
2018,Nov,Customer,Male,34086
2018,Nov,Customer,Unknown,45011
2018,Nov,Subscriber,Female,273923
2018,Nov,Subscriber,Male,868783
2018,Nov,Subscriber,Unknown,22107
2018,Dec,Customer,Female,9229
2018,Dec,Customer,Male,23446
2018,Dec,Customer,Unknown,28422
2018,Dec,Subscriber,Female,214446
2018,Dec,Subscriber,Male,723176
2018,Dec,Subscriber,Unknown,17786
